CountryCode,Year,"Value(Life expectancy at birth, total (years))","Value(Age dependency ratio, old (% of working-age population))","Value(Birth rate, crude (per 1,000 people))"
ARB,2010,70.00301692,6.654266292,27.09219255
CSS,2010,71.38492388,11.5181283,16.29535329
CEB,2010,75.29534873,21.79601449,10.50694046
EAS,2010,74.13188954,11.88285617,13.83375876
EAP,2010,73.1884378,10.28248433,14.38628663
EMU,2010,80.74824622,27.81829821,10.35849706
ECS,2010,75.84692903,21.57773363,12.65834947
ECA,2010,71.56437869,14.73528513,16.33225872
EUU,2010,79.72592245,26.23693732,10.74456088
FCS,2010,60.6539817,6.132963002,34.69995849
HPC,2010,58.64852064,5.872519959,38.8418763
HIC,2010,78.42194586,22.04510095,12.06248644
NOC,2010,72.74205284,14.7051043,14.52821027
OEC,2010,80.13631702,24.18927855,11.3176064
LCN,2010,74.02854175,10.30202797,18.33008859
LAC,2010,73.67941962,9.628709151,18.45181447
LDC,2010,61.34398956,6.276675679,34.34764496
LMY,2010,68.51390695,9.004924556,21.73401586
LIC,2010,59.03193145,6.286814485,37.70520943
LMC,2010,66.06803278,7.887453205,24.33593921
MEA,2010,72.24677058,7.014236345,24.01678347
MNA,2010,71.68959788,7.375431527,24.7276831
MIC,2010,69.57326174,9.246904537,19.9497187
NAC,2010,78.77450307,19.46053626,12.81163401
OED,2010,79.39857718,22.02335335,12.52500273
OSS,2010,60.80125481,7.250946794,29.5708087
PSS,2010,69.14002509,7.091445904,26.14649298
SST,2010,63.95432087,8.340456453,26.1196571
SAS,2010,66.68806288,7.884848792,22.7411279
SSF,2010,56.33649504,5.766704581,38.71765809
SSA,2010,56.33506628,5.766543609,38.72193587
UMC,2010,73.72585771,10.66696387,14.75375883
WLD,2010,70.4711611,11.61973754,19.82321405
AFG,2010,58.97082927,4.538209166,38.94
ALB,2010,76.9785122,16.20053336,12.607
DZA,2010,73.80404878,8.253312392,24.643
ASM,2010,,4.750276871,18.7
ADO,2010,,10.87199986,9.8
AGO,2010,50.65417073,16.3284634,47.529
ATG,2010,75.30878049,15.30049135,16.968
ARG,2010,75.48497561,14.95049363,18.153
ARM,2010,74.22634146,19.99469022,13.83
ABW,2010,74.95353659,26.28485298,10.823
AUS,2010,81.69512195,,13.7
AUT,2010,80.5804878,,9.4
AZE,2010,70.45029268,8.298819809,18.3
BHS,2010,74.59239024,9.85748872,15.637
BHR,2010,76.12756098,2.614232073,16.107
BGD,2010,70.08029268,7.416676611,21.298
BRB,2010,74.84529268,18.43483505,12.478
BLR,2010,70.40487805,19.6042327,11.4
BEL,2010,80.23414634,26.0085849,11.9
BLZ,2010,69.78204878,6.315957212,23.657
BEN,2010,58.72970732,5.362814016,37.852
BMU,2010,79.28853659,,11.8
BTN,2010,67.89241463,6.861342379,19.914
BOL,2010,66.4077561,10.02523884,25.496
BIH,2010,75.80768293,18.761888,9.272
BWA,2010,63.40229268,5.393058855,25.528
BRA,2010,73.26414634,9.826215496,15.591
BRN,2010,77.59826829,4.92698254,17.499
BGR,2010,73.51219512,26.83089555,10.2
BFA,2010,57.05139024,4.810010859,42.261
BDI,2010,54.82919512,4.839818439,44.53
CPV,2010,72.59790244,8.968448703,22.212
KHM,2010,66.38565854,5.930362901,25.491
CMR,2010,53.69482927,6.084803564,38.64
CAN,2010,80.8934878,20.40058664,11.1
CYM,2010,,,15
CAF,2010,47.62531707,7.023293982,34.873
TCD,2010,49.86207317,5.26359508,47.24
CHI,2010,80.01036585,23.00127365,9.73
CHL,2010,80.27580488,14.13070462,13.959
CHN,2010,74.88502439,11.09244427,11.9
COL,2010,73.27785366,8.655096611,17.079
COM,2010,61.8305122,5.096137376,35.378
ZAR,2010,56.89614634,5.76847918,43.702
COG,2010,59.14312195,6.626114762,38.092
CRI,2010,78.73604878,10.97324346,15.84
CIV,2010,50.15146341,5.582886633,37.876
HRV,2010,76.47560976,26.18757699,9.8
CUB,2010,78.93563415,17.89622721,10.854
CUW,2010,,19.69086764,13.6
CYP,2010,79.38195122,16.37011269,11.689
CZE,2010,77.42439024,21.862869,11.2
DNK,2010,79.1,25.48708689,11.4
DJI,2010,60.36068293,5.978802533,26.607
DMA,2010,,,13.11000885
DOM,2010,72.74980488,9.718700384,22.206
ECU,2010,75.02980488,9.662912034,21.897
EGY,2010,70.34029268,7.785067043,27.146
SLV,2010,71.67060976,11.7918641,18.223
GNQ,2010,55.971,5.271448149,36.293
ERI,2010,61.46614634,4.1837525,36.773
EST,2010,75.42926829,26.02149099,11.9
ETH,2010,61.29612195,6.318688614,34.622
FRO,2010,80.64390244,,
FJI,2010,69.38436585,7.302148538,21.583
FIN,2010,79.87073171,25.81787786,11.4
FRA,2010,81.66341463,26.38714173,12.9
PYF,2010,75.69539024,9.720209145,16.967
GAB,2010,62.12082927,9.463452326,31.299
GMB,2010,59.34060976,4.898984939,43.325
GEO,2010,73.67473171,20.83117479,13.815
DEU,2010,79.98780488,31.27944387,8.3
GHA,2010,60.60997561,6.167714886,33.65
GRC,2010,80.38780488,28.65142446,10.3
GRL,2010,70.83682927,,15.3
GRD,2010,72.5675122,11.10623032,19.439
GUM,2010,78.10087805,11.13781897,17.778
GTM,2010,70.77546341,7.921378945,28.574
GIN,2010,56.30504878,5.846007387,38.68
GNB,2010,53.81436585,5.652843276,38.444
GUY,2010,66.04270732,6.975965593,18.891
HTI,2010,61.24012195,7.471129305,26.655
HND,2010,72.39397561,7.387661418,23.261
HKG,2010,82.97804878,17.21209646,12.6
HUN,2010,74.20731707,24.36209398,9
ISL,2010,81.89756098,18.14551929,15.4
IND,2010,66.50614634,7.99047534,21.595
IDN,2010,68.14719512,7.455594435,21.034
IRN,2010,73.98317073,6.888258701,18.336
IRQ,2010,68.8297561,5.978070339,32.317
IRL,2010,80.74390244,16.3519272,16.5
ISR,2010,81.60243902,16.7421682,21.8
ITA,2010,82.03658537,31.19208223,9.5
JAM,2010,72.84712195,13.02099424,15.05
JPN,2010,82.84268293,35.97765615,8.5
JOR,2010,73.43587805,6.248915668,28.869
KAZ,2010,68.29536585,9.853286732,22.54
KEN,2010,58.71860976,4.860474173,36.798
KIR,2010,65.30278049,5.874667312,29.468
PRK,2010,68.90002439,12.80359843,14.411
KOR,2010,80.55121951,15.25901795,9.4
KSV,2010,69.9,10.17097955,18.5
KWT,2010,74.16192683,2.488789926,21.314
KGZ,2010,69.3,6.850116883,26.8
LAO,2010,64.33363415,6.204275527,28.142
LVA,2010,73.48292683,27.22872072,9.4
LBN,2010,79.25278049,12.36880406,12.822
LSO,2010,47.48341463,7.363826543,28.626
LBR,2010,59.44129268,5.732528827,37.123
LBY,2010,71.73739024,6.299153832,22.586
LIE,2010,81.84146341,,9.1
LTU,2010,73.26829268,25.82861065,9.9
LUX,2010,80.63170732,20.46871033,11.6
MAC,2010,79.69039024,8.993057827,10.032
MKD,2010,74.72263415,15.95472986,11.083
MDG,2010,63.36173171,5.296130046,35.454
MWI,2010,56.8362439,6.33142826,41.088
MYS,2010,74.15778049,7.368056033,16.773
MDV,2010,76.2004878,7.390367164,21.449
MLI,2010,56.17980488,5.438301015,45.895
MLT,2010,81.39756098,23.73871576,9.4
MRT,2010,62.00617073,5.643668202,35.012
MUS,2010,72.96731707,10.82981125,12
MEX,2010,76.02678049,9.163403925,20.036
FSM,2010,68.61226829,6.490333719,23.751
MDA,2010,68.45812195,13.83628394,12.348
MNG,2010,67.60382927,5.50675852,23.892
MNE,2010,74.41673171,18.9816134,12.056
MAR,2010,72.57692683,9.164806123,21.2
MOZ,2010,53.22690244,6.448255567,41.02
MMR,2010,64.9174878,7.728404672,19.601
NAM,2010,62.48029268,5.858585701,29.903
NPL,2010,67.9714878,8.593078397,22.892
NLD,2010,80.70243902,23.18755157,11.1
NCL,2010,77.47317073,14.20115516,16.7
NZL,2010,80.70243902,19.55726178,14.62
NIC,2010,73.58173171,7.578045474,22.163
NER,2010,58.259,5.302133528,50.278
NGA,2010,51.3295122,5.124275659,41.129
NOR,2010,80.99756098,22.68115053,12.6
OMN,2010,76.05280488,3.927054375,21.265
PAK,2010,65.16256098,7.452178471,30.17
PLW,2010,,,11.9
PAN,2010,76.86363415,10.55332628,20.417
PNG,2010,61.99482927,4.775693141,30.229
PRY,2010,72.30129268,8.612625724,22.419
PER,2010,73.63980488,9.618551816,20.878
PHL,2010,67.78331707,6.674793731,24.634
POL,2010,76.24634146,18.85600393,10.8
PRT,2010,79.02682927,28.34702906,9.6
PRI,2010,78.1822439,19.53563229,11.3
QAT,2010,77.8255122,1.238579515,12.223
ROM,2010,73.45853659,23.16167067,10.5
RUS,2010,68.85609756,18.17099487,12.5
RWA,2010,61.40178049,4.857785614,35.381
WSM,2010,72.417,8.913107399,27.944
SMR,2010,83.15937916,,10.5
STP,2010,65.85468293,7.008205321,35.738
SAU,2010,73.70160976,4.14668306,21.754
SEN,2010,64.01443902,5.806356405,39.103
SRB,2010,74.33658537,22.33085902,9.4
SYC,2010,73.19756098,10.21973137,16.8
SLE,2010,48.22895122,4.789722513,39.125
SGP,2010,81.54146341,12.23572502,9.3
SXM,2010,,,13.1
SVK,2010,75.11219512,17.06544578,11.2
SVN,2010,79.42195122,24.02825389,10.9
SLB,2010,67.06565854,5.884629486,32.555
SOM,2010,54.02365854,5.702977547,45.028
ZAF,2010,54.3907561,7.891564534,21.536
SSD,2010,53.66490244,6.340958378,38.324
ESP,2010,81.62682927,25.15437715,10.4
LKA,2010,73.75526829,10.89834846,18.477
LCA,2010,74.47109756,12.78707768,16.338
MAF,2010,78.72195122,,16.8
VCT,2010,72.34639024,10.0911271,17.093
SDN,2010,62.04258537,5.736138344,34.843
SUR,2010,70.36273171,10.04441884,19.254
SWZ,2010,48.3457561,5.777097448,30.938
SWE,2010,81.45121951,27.88072852,12.3
CHE,2010,82.24634146,24.8498427,10.3
SYR,2010,74.86763415,5.79473649,24.964
TJK,2010,68.56339024,5.437692931,30.46
TZA,2010,61.62560976,6.040828519,41.028
THA,2010,73.69436585,12.37561453,11.725
TMP,2010,65.94446341,7.870886194,36.445
TGO,2010,57.28156098,4.971272609,37.585
TON,2010,72.18260976,10.35541607,27.112
TTO,2010,69.79756098,11.68049676,15.199
TUN,2010,74.60243902,10.80298024,18.6
TUR,2010,74.21119512,10.64227208,17.746
TKM,2010,65.0212439,6.185503812,21.796
UGA,2010,55.83665854,5.222137893,44.944
UKR,2010,70.26536585,22.77227517,10.8
ARE,2010,76.6752439,0.810684098,11.778
GBR,2010,80.40243902,24.45959099,12.9
USA,2010,78.54146341,19.35391013,13
URY,2010,76.39460976,21.94512774,14.756
UZB,2010,67.8587561,7.121668012,22.7
VUT,2010,70.84995122,6.8242833,27.486
VEN,2010,73.67160976,8.488900359,20.687
VNM,2010,75.31173171,9.379942823,16.428
VIR,2010,79.17317073,20.8712735,11.3
WBG,2010,72.6404878,4.962110901,31.237
YEM,2010,62.76873171,4.586596119,34.546
ZMB,2010,56.38385366,5.772203103,41.909
ZWE,2010,49.57465854,5.813059068,36.267
